HIP,RAJ2000,DEJ2000,Dist,Teff,mag,Lum,Mass,Rad,CHZ,OHZ,plx
1,00 00 00.2188,+01 05 20.4480,220.0,6388,9.2043,8.7,1.4,2.4,2.0,3.0,4.55
2,00 00 00.9114,-19 29 55.8146,48.0,4506,9.4017,0.614,0.68,1.3,0.7,0.9,20.85
4,00 00 02.0117,-51 53 36.7660,130.0,7005,8.1498,8.5,1.6,2.0,1.9,3.0,7.45
10,00 00 08.7007,-50 52 01.4651,92.3,6475,8.6994,2.6,1.4,1.3,1.1,1.5,10.83
17,00 00 12.2639,-40 11 32.3822,140.0,6575,8.2405,8.4,1.4,2.23,1.9,3.0,7.33
18,00 00 12.7535,-04 03 13.4559,45.0,4159,11.0625,0.13,0.59,0.7,0.3,0.4,22.31
20,00 00 15.1082,+23 31 45.4234,97.0,6167,8.6208,3.0,1.3,1.5,1.2,1.7,10.35
23,00 00 17.8631,+13 18 43.9595,86.0,6446,7.6626,5.5,1.4,1.9,1.6,2.2,11.59
25,00 00 19.0478,-44 17 25.0703,81.4,5686,6.4211,18.0,1.0,4.4,3.0,4.0,12.29
26,00 00 20.2430,-13 23 35.8692,100.0,6216,9.2438,1.9,1.3,1.2,0.96,1.4,9.92
28,00 00 20.9398,-43 21 42.4785,200.0,6490,8.9385,9.4,1.4,2.4,2.1,3.0,5.05
33,00 00 23.8033,-10 27 44.8357,114.0,6575,8.2076,5.9,1.4,1.9,1.6,2.3,8.79
34,00 00 23.8728,+26 55 05.6575,75.0,6319,6.5466,12.3,1.3,2.9,2.4,3.0,13.4
37,00 00 25.2844,-47 10 46.5023,380.0,6607,10.5345,8.0,1.4,2.16,1.9,3.0,2.62
42,00 00 30.0928,+25 50 41.2095,160.0,6552,8.291,11.0,1.4,2.6,2.2,3.0,6.12
45,00 00 32.2091,-72 12 09.7578,62.3,5932,9.7391,0.64,1.12,0.76,0.6,0.8,16.05
49,00 00 33.4801,+16 40 08.5143,380.0,6268,9.6309,18.0,1.3,3.6,3.0,4.0,2.66
50,00 00 34.2889,-53 05 51.5856,59.0,6054,6.6231,7.6,1.19,2.5,1.9,3.0,16.83
53,00 00 35.3735,-29 15 48.1776,1900.0,7025,11.1006,130.0,1.6,7.6,7.0,10.0,0.52
57,00 00 40.3885,-69 40 32.8819,30.0,5281,8.4078,0.44,0.87,0.79,0.5,0.7,33.48
58,00 00 41.7032,+62 10 33.6172,39.0,6276,7.1625,1.9,1.3,1.17,0.9,1.3,25.77
60,00 00 42.1016,-64 27 56.9703,170.0,6833,8.4336,10.9,1.5,2.4,2.2,3.0,5.81
